Noise Power,Integration Time
6.682038756942411e-07,0.01
4.914146710288e-07,1.02
4.7190544103078083e-07,2.03
4.60891582876279e-07,3.04
4.504210883393644e-07,4.05
4.393528190919641e-07,5.06
4.292939500649076e-07,6.07
4.1884001317367283e-07,7.08
4.086390774747337e-07,8.09
3.9846066997174095e-07,9.1
3.883050271237599e-07,10.11
3.785457039098585e-07,11.12
3.689467392106443e-07,12.13
3.5972934009061256e-07,13.14
3.5077498002196094e-07,14.15
3.4204306090542173e-07,15.16
3.335918531015356e-07,16.17
3.2528664874606597e-07,17.180000000000003
3.17194571249455e-07,18.19
3.0926348346326475e-07,19.200000000000003
3.0149703567718747e-07,20.21
2.939131723063461e-07,21.220000000000002
2.864409779312779e-07,22.23
2.7911449242598076e-07,23.240000000000002
2.718933909142699e-07,24.250000000000004
2.647671492591576e-07,25.26
2.5774434250610696e-07,26.270000000000003
2.507873918853219e-07,27.28
2.4391771520610556e-07,28.290000000000003
2.371194369668083e-07,29.3
2.304076652740171e-07,30.310000000000002
2.237971205105825e-07,31.32
2.172772745095542e-07,32.33
2.1087109456663688e-07,33.339999999999996
2.045646353256342e-07,34.35
1.983646377313458e-07,35.36
1.9226976554774495e-07,36.37
1.8626598419289066e-07,37.379999999999995
1.8036260174413331e-07,38.39
1.7455042638463602e-07,39.4
1.6883507656166874e-07,40.41
1.6321498170528556e-07,41.42
1.576857559280263e-07,42.43
1.5225155411129717e-07,43.44
1.4690453961919628e-07,44.449999999999996
1.4164539805027025e-07,45.46
1.3647105594459952e-07,46.47
1.3138191570941208e-07,47.48
1.2638454433535418e-07,48.49
1.2147756579780546e-07,49.5
1.1666309377674628e-07,50.51
1.1194191720675996e-07,51.519999999999996
1.0731291370057121e-07,52.53
1.0277843376563225e-07,53.54
9.833491759155983e-08,54.55
9.398357298999015e-08,55.559999999999995
8.972836652553612e-08,56.57
8.556932564752402e-08,57.58
8.151127277942168e-08,58.589999999999996
7.755226971220055e-08,59.6
7.36937675275194e-08,60.61
6.993680142004813e-08,61.62
6.627833625158978e-08,62.629999999999995
6.272172244034071e-08,63.64
5.9263779161120476e-08,64.65
5.590789095910772e-08,65.66000000000001
5.2654116357794645e-08,66.67
4.949938401520125e-08,67.68
4.644654191430841e-08,68.69000000000001
4.349022226569083e-08,69.7
4.0632009753696913e-08,70.71000000000001
3.787003301109618e-08,71.72
3.520184437451202e-08,72.73
3.2631035580531696e-08,73.74000000000001
3.015523028198987e-08,74.75
2.7778870037603358e-08,75.76
2.5501321148976523e-08,76.77000000000001
2.3322554666365283e-08,77.78
2.124559995316066e-08,78.79
1.9266680526388966e-08,79.80000000000001
1.7389162192202406e-08,80.81
1.561088760780408e-08,81.82000000000001
1.3929805576762004e-08,82.83000000000001
1.2347609538779157e-08,83.84
1.0860458209867743e-08,84.85000000000001
9.471568798126418e-09,85.86
8.178331713837117e-09,86.87
6.98007240838765e-09,87.88000000000001
5.878415404787589e-09,88.89
4.868606549192185e-09,89.9
3.953653656073111e-09,90.91000000000001
3.130289724560185e-09,91.92
2.3997004509413506e-09,92.93
1.7651179514261648e-09,93.94000000000001
1.2246643928155916e-09,94.95
7.8349027779597e-10,95.96000000000001
4.388171735844388e-10,96.97000000000001
1.9284417935605425e-10,97.98
4.7398352511306345e-11,98.99000000000001
9.196213559502724e-14,100.0
