Grating,Wavelength,Detector Voltage
3,2.300146,0.1949766753921398
3,2.400157,0.2906796055492986
3,2.500015,0.3038132837787362
3,2.600024,0.28765644266539886
3,2.700164,0.252568768572292
3,2.800144,0.25461983770554864
3,2.900239,0.393138123853592
3,3.000155,0.4323839674546804
3,3.100179,0.4724082847980122
3,3.200304,0.4665302840519041
3,3.300227,0.526884860336267
3,3.400229,0.5801657325159949
3,3.500315,0.5310538090056196
3,3.600172,0.5666174859781363
3,3.700091,0.5697204230462553
3,3.800069,0.5740697714443843
3,3.90008,0.5620213135081189
3,4.000133,0.5174395615036127
3,4.100208,0.4019567171889213
3,4.200308,0.42533580432104834
3,4.300412,0.3187430031387652
3,4.40051,0.323963298877162
3,4.500605,0.29595028683392516
3,4.600683,0.21516497996482714
3,4.700728,0.20063627342397183
3,4.800736,0.1714129793791119
3,4.900697,0.13952546173509173
3,5.000597,0.11897428800339868
